Race,Lap,Position,Overtaker,Overtaken,Turn,Final,Live
Australia,2.0,4.0,Hulkenberg,Hamilton,11.0,,
Australia,3.0,6.0,Raikkonen,Vergne,11.0,,
Australia,3.0,8.0,Bottas,Kvyat,13.0,,
Australia,5.0,7.0,Bottas,Vergne,4.0,,
Australia,5.0,11.0,Ericsson,Sutil,,,
Australia,6.0,11.0,Sutil,Ericsson,,,
Australia,8.0,6.0,Bottas,Raikkonen,4.0,,
Australia,8.0,12.0,Maldonado,Ericsson,,,
Australia,9.0,14.0,Grosjean,Chilton,,,
Australia,16.0,12.0,Grosjean,Ericsson,,,
Australia,16.0,14.0,Bottas,Chilton,,,
Australia,16.0,15.0,Bottas,Gutierrez,1.0,,
Australia,16.0,15.0,Perez,Chilton,,,
Australia,16.0,16.0,Perez,Gutierrez,,,
Australia,16.0,16.0,Gutierrez,Chilton,,,
Australia,17.0,9.0,Kvyat,Sutil,,,
Australia,17.0,12.0,Bottas,Grosjean,,,
Australia,17.0,13.0,Bottas,Ericsson,,,
Australia,17.0,14.0,Perez,Ericsson,,,
Australia,18.0,11.0,Bottas,Maldonado,9.0,,
Australia,19.0,10.0,Bottas,Sutil,,,
Australia,19.0,15.0,Gutierrez,Ericsson,,,
Australia,20.0,13.0,Perez,Grosjean,13.0,,
Australia,21.0,12.0,Perez,Maldonado,,,
Australia,23.0,13.0,Grosjean,Maldonado,1.0,,
Australia,25.0,9.0,Bottas,Kvyat,1.0,,
Australia,28.0,13.0,Gutierrez,Maldonado,,,
Australia,46.0,7.0,Bottas,Vergne,Finish Line,,
Australia,52.0,6.0,Bottas,Hulkenberg,1.0,,
Australia,53.0,8.0,Raikkonen,Vergne,14.0,,
Malaysia,2.0,11.0,Bottas,Gutierrez,,,
Malaysia,3.0,7.0,Button,Magnussen,1.0,,
Malaysia,3.0,8.0,Massa,Magnussen,15.0,,
Malaysia,4.0,3.0,Vettel,Ricciardo,1.0,,
Malaysia,4.0,8.0,Magnussen,Massa,1.0,,
Malaysia,5.0,11.0,Kvyat,Gutierrez,1.0,,
Malaysia,12.0,9.0,Alonso,Grosjean,4.0,,
Malaysia,13.0,7.0,Ricciardo,Alonso,3.0,,
Malaysia,14.0,4.0,Vettel,Bottas,4.0,,
Malaysia,14.0,5.0,Ricciardo,Bottas,5.0,,
Malaysia,14.0,6.0,Alonso,Bottas,11.0,,
Malaysia,14.0,8.0,Button,Kobayashi,,,
Malaysia,14.0,10.0,Massa,Kvyat,,,
Malaysia,15.0,8.0,Massa,Kobayashi,,,
Malaysia,16.0,1.0,Hamilton,Hulkenberg,11.0,,
Malaysia,16.0,10.0,Bottas,Magnussen,,,
Malaysia,16.0,17.0,Ericsson,Vergne,,,
Malaysia,17.0,18.0,Raikkonen,Vergne,1.0,,
Malaysia,18.0,17.0,Raikkonen,Ericsson,1.0,,
Malaysia,19.0,13.0,Sutil,Gutierrez,,,
Malaysia,21.0,9.0,Bottas,Kvyat,1.0,,
Malaysia,25.0,14.0,Sutil,Chilton,4.0,,
Malaysia,25.0,16.0,Gutierrez,Ericsson,15.0,,
Malaysia,26.0,15.0,Gutierrez,Chilton,4.0,,
Malaysia,26.0,17.0,Raikkonen,Ericsson,12.0,,
Malaysia,27.0,10.0,Kvyat,Kobayashi,1.0,,
Malaysia,27.0,16.0,Raikkonen,Chilton,,,
Malaysia,28.0,11.0,Magnussen,Kobayashi,Finish Line,,
Malaysia,31.0,10.0,Magnussen,Kvyat,,,
Malaysia,31.0,12.0,Grosjean,Kobayashi,1.0,,
Malaysia,38.0,13.0,Raikkonen,Kobayashi,,,
Malaysia,46.0,15.0,Ricciardo,Chilton,4.0,,
Malaysia,53.0,4.0,Alonso,Hulkenberg,3.0,,
Bahrain,2.0,18.0,Grosjean,Kobayashi,1.0,,
Bahrain,3.0,17.0,Grosjean,Ericsson,1.0,,
Bahrain,4.0,16.0,Grosjean,Bianchi,,,
Bahrain,5.0,7.0,Hulkenberg,Alonso,1.0,,
Bahrain,5.0,18.0,Kobayashi,Ericsson,,,
Bahrain,6.0,14.0,Maldonado,Gutierrez,4.0,,
Bahrain,10.0,5.0,Button,Bottas,2.0,,
Bahrain,10.0,6.0,Hulkenberg,Bottas,4.0,,
Bahrain,10.0,17.0,Kobayashi,Bianchi,,,
Bahrain,11.0,10.0,Ricciardo,Magnussen,12.0,,
Bahrain,12.0,3.0,Perez,Massa,6.0,,
Bahrain,12.0,15.0,Bottas,Kobayashi,,,
Bahrain,13.0,14.0,Alonso,Kobayashi,,,
Bahrain,14.0,13.0,Kvyat,Kobayashi,1.0,,
Bahrain,14.0,14.0,Raikkonen,Kobayashi,,,
Bahrain,15.0,8.0,Bottas,Maldonado,,,
Bahrain,16.0,8.0,Massa,Maldonado,,,
Bahrain,16.0,11.0,Hulkenberg,Kvyat,11.0,,
Bahrain,16.0,12.0,Hulkenberg,Raikkonen,9.0,,
Bahrain,16.0,20.0,Vergne,Bianchi,,,
Bahrain,17.0,7.0,Alonso,Maldonado,1.0,,
Bahrain,17.0,8.0,Hulkenberg,Maldonado,,,
Bahrain,17.0,9.0,Perez,Maldonado,,,
Bahrain,17.0,11.0,Raikkonen,Kvyat,1.0,,
Bahrain,18.0,1.0,Rosberg,Hamilton,1.0,,
Bahrain,18.0,1.0,Hamilton,Rosberg,1.0,,
Bahrain,18.0,9.0,Raikkonen,Maldonado,,,
Bahrain,19.0,1.0,Rosberg,Hamilton,2.0,,
Bahrain,19.0,1.0,Hamilton,Rosberg,6.0,,
Bahrain,19.0,5.0,Hulkenberg,Alonso,,,
Bahrain,19.0,6.0,Perez,Alonso,4.0,,
Bahrain,19.0,9.0,Button,Kvyat,,,
Bahrain,19.0,10.0,Vettel,Kvyat,,,
Bahrain,19.0,15.0,Grosjean,Gutierrez,,,
Bahrain,19.0,17.0,Chilton,Ericsson,,,
Bahrain,20.0,18.0,Kobayashi,Ericsson,,,
Bahrain,21.0,8.0,Button,Raikkonen,1.0,,
Bahrain,21.0,11.0,Ricciardo,Kvyat,,,
Bahrain,21.0,17.0,Kobayashi,Chilton,,,
Bahrain,24.0,9.0,Vettel,Raikkonen,14.0,,
Bahrain,26.0,4.0,Perez,Hulkenberg,6.0,,
Bahrain,26.0,13.0,Maldonado,Gutierrez,,,
Bahrain,27.0,6.0,Button,Alonso,,,
Bahrain,28.0,3.0,Perez,Massa,6.0,,
Bahrain,28.0,4.0,Hulkenberg,Massa,9.0,,
Bahrain,31.0,8.0,Bottas,Ricciardo,1.0,,
Bahrain,31.0,16.0,Gutierrez,Kobayashi,,,
Bahrain,32.0,7.0,Ricciardo,Raikkonen,6.0,,
Bahrain,32.0,8.0,Bottas,Raikkonen,11.0,,
Bahrain,33.0,9.0,Massa,Raikkonen,11.0,,
Bahrain,34.0,7.0,Bottas,Ricciardo,1.0,,
Bahrain,35.0,6.0,Massa,Ricciardo,1.0,,
Bahrain,35.0,8.0,Perez,Alonso,11.0,,
Bahrain,36.0,9.0,Vettel,Maldonado,11.0,,
Bahrain,36.0,10.0,Vettel,Magnussen,1.0,,
Bahrain,37.0,6.0,Hulkenberg,Alonso,11.0,,
Bahrain,37.0,10.0,Ricciardo,Maldonado,,,
Bahrain,37.0,11.0,Ricciardo,Magnussen,11.0,,
Bahrain,37.0,12.0,Ricciardo,Raikkonen,4.0,,
Bahrain,39.0,11.0,Raikkonen,Maldonado,11.0,,
Bahrain,47.0,5.0,Vettel,Button,11.0,,
Bahrain,47.0,6.0,Ricciardo,Button,12.0,,
Bahrain,47.0,15.0,Chilton,Kobayashi,8.0,,
Bahrain,48.0,7.0,Massa,Button,1.0,,
Bahrain,48.0,8.0,Bottas,Button,6.0,,
Bahrain,50.0,5.0,Ricciardo,Vettel,1.0,,
Bahrain,50.0,9.0,Alonso,Button,,,
Bahrain,51.0,10.0,Raikkonen,Button,,,
Bahrain,53.0,1.0,Rosberg,Hamilton,1.0,,
Bahrain,53.0,1.0,Hamilton,Rosberg,1.0,,
Bahrain,53.0,4.0,Ricciardo,Hulkenberg,11.0,,
Bahrain,54.0,15.0,Maldonado,Kobayashi,,,
Bahrain,56.0,6.0,Massa,Vettel,4.0,,
Bahrain,56.0,6.0,Vettel,Massa,4.0,,
China,2.0,9.0,Bottas,Raikkonen,1.0,,
China,2.0,12.0,Perez,Vergne,1.0,,
China,3.0,8.0,Bottas,Grosjean,1.0,,
China,3.0,13.0,Button,Vergne,2.0,,
China,4.0,5.0,Rosberg,Massa,14.0,,
China,9.0,20.0,Button,Ericsson,,,
China,10.0,17.0,Grosjean,Bianchi,,,
China,11.0,15.0,Raikkonen,Bianchi,,,
China,11.0,17.0,Button,Chilton,,,
China,11.0,18.0,Perez,Chilton,,,
China,12.0,6.0,Alonso,Kvyat,,,
China,12.0,10.0,Hulkenberg,Magnussen,,,
China,13.0,5.0,Vettel,Kvyat,2.0,,
China,13.0,8.0,Hulkenberg,Gutierrez,,,
China,13.0,10.0,Bottas,Magnussen,,,
China,13.0,12.0,Raikkonen,Grosjean,14.0,,
China,14.0,5.0,Rosberg,Vergne,,,
China,14.0,9.0,Bottas,Gutierrez,14.0,,
China,14.0,14.0,Perez,Button,14.0,,
China,15.0,6.0,Hulkenberg,Vergne,,,
China,16.0,8.0,Raikkonen,Magnussen,6.0,,
China,16.0,9.0,Grosjean,Magnussen,14.0,,
China,16.0,20.0,Massa,Ericsson,,,
China,17.0,16.0,Maldonado,Kobayashi,,,
China,18.0,15.0,Magnussen,Maldonado,14.0,,
China,18.0,16.0,Magnussen,Kobayashi,9.0,,
China,20.0,19.0,Massa,Chilton,,,
China,21.0,11.0,Kvyat,Button,,,
China,22.0,3.0,Rosberg,Vettel,16.0,,
China,23.0,9.0,Perez,Grosjean,,,
China,24.0,12.0,Vergne,Button,,,
China,26.0,4.0,Ricciardo,Vettel,1.0,,
China,27.0,14.0,Magnussen,Gutierrez,1.0,,
China,29.0,16.0,Gutierrez,Massa,,,
China,31.0,11.0,Perez,Magnussen,,,
China,32.0,8.0,Raikkonen,Vergne,14.0,,
China,32.0,11.0,Kvyat,Button,,,
China,32.0,18.0,Massa,Bianchi,,,
China,36.0,16.0,Massa,Kobayashi,,,
China,37.0,14.0,Maldonado,Gutierrez,14.0,,
China,42.0,2.0,Rosberg,Alonso,14.0,,
China,42.0,18.0,Kobayashi,Chilton,,,
Spain,2.0,17.0,Vergne,Bianchi,,,
Spain,2.0,18.0,Vergne,Kobayashi,,,
Spain,4.0,19.0,Maldonado,Kobayashi,,,
Spain,8.0,11.0,Kvyat,Gutierrez,4.0,,
Spain,8.0,18.0,Maldonado,Bianchi,,,
Spain,9.0,12.0,Button,Gutierrez,1.0,,
Spain,9.0,13.0,Vettel,Gutierrez,11.0,,
Spain,14.0,13.0,Magnussen,Gutierrez,1.0,,
Spain,14.0,19.0,Vettel,Kobayashi,10.0,,
Spain,14.0,20.0,Vettel,Chilton,,,
Spain,16.0,9.0,Ricciardo,Button,1.0,,
Spain,16.0,17.0,Vettel,Bianchi,,,
Spain,17.0,7.0,Ricciardo,Kvyat,1.0,,
Spain,17.0,12.0,Grosjean,Sutil,1.0,,
Spain,18.0,4.0,Ricciardo,Perez,4.0,,
Spain,18.0,8.0,Grosjean,Gutierrez,,,
Spain,18.0,18.0,Vergne,Ericsson,,,
Spain,18.0,19.0,Maldonado,Ericsson,,,
Spain,18.0,20.0,Sutil,Ericsson,,,
Spain,19.0,13.0,Button,Bianchi,,,
Spain,19.0,14.0,Kvyat,Bianchi,,,
Spain,21.0,14.0,Magnussen,Bianchi,,,
Spain,21.0,16.0,Vergne,Kobayashi,,,
Spain,22.0,16.0,Gutierrez,Kobayashi,1.0,,
Spain,22.0,17.0,Maldonado,Kobayashi,,,
Spain,23.0,18.0,Sutil,Kobayashi,,,
Spain,25.0,5.0,Raikkonen,Grosjean,1.0,,
Spain,26.0,6.0,Alonso,Grosjean,1.0,,
Spain,29.0,15.0,Maldonado,Gutierrez,10.0,,
Spain,37.0,7.0,Alonso,Magnussen,1.0,,
Spain,37.0,8.0,Vettel,Magnussen,10.0,,
Spain,37.0,9.0,Vettel,Massa,5.0,,
Spain,37.0,16.0,Sutil,Gutierrez,,,
Spain,39.0,19.0,Chilton,Ericsson,,,
Spain,40.0,8.0,Massa,Magnussen,1.0,,
Spain,51.0,9.0,Perez,Hulkenberg,1.0,,
Spain,51.0,12.0,Magnussen,Kvyat,1.0,,
Spain,56.0,5.0,Vettel,Raikkonen,10.0,,
Spain,58.0,15.0,Kvyat,Sutil,,,
Spain,63.0,4.0,Vettel,Bottas,10.0,,
Spain,63.0,6.0,Alonso,Raikkonen,4.0,,
Spain,63.0,14.0,Kvyat,Maldonado,,,
Spain,65.0,16.0,Gutierrez,Sutil,,,
Monaco,9.0,18.0,Sutil,Grosjean,Loews,,
Monaco,11.0,16.0,Sutil,Ericsson,Loews,,
Monaco,16.0,15.0,Sutil,Chilton,Chicane,,
Monaco,32.0,7.0,Hulkenberg,Magnussen,Portier,,
Monaco,35.0,12.0,Raikkonen,Kobayashi,,,
Monaco,35.0,13.0,Bianchi,Kobayashi,Tabac,,
Monaco,39.0,14.0,Grosjean,Kobayashi,Chicane,,
Monaco,39.0,15.0,Ericsson,Kobayashi,,,
Monaco,55.0,8.0,Gutierrez,Bottas,Chicane,,
Monaco,72.0,6.0,Button,Magnussen,St Devote,,
Canada,8.0,10.0,Perez,Button,13.0,,
Canada,10.0,2.0,Hamilton,Vettel,13.0,,
Canada,11.0,17.0,Gutierrez,Kobayashi,,,
Canada,12.0,15.0,Kvyat,Kobayashi,,,
Canada,15.0,15.0,Kvyat,Gutierrez,1.0,,
Canada,16.0,8.0,Bottas,Maldonado,,,
Canada,16.0,14.0,Button,Gutierrez,13.0,,
Canada,16.0,17.0,Grosjean,Kobayashi,,,
Canada,16.0,18.0,Sutil,Kobayashi,,,
Canada,17.0,8.0,Ricciardo,Maldonado,,,
Canada,17.0,12.0,Massa,Kvyat,13.0,,
Canada,18.0,15.0,Magnussen,Gutierrez,,,
Canada,22.0,9.0,Massa,Vergne,,,
Canada,26.0,8.0,Massa,Alonso,1.0,,
Canada,26.0,15.0,Grosjean,Gutierrez,13.0,,
Canada,27.0,11.0,Raikkonen,Kvyat,,,
Canada,28.0,12.0,Button,Kvyat,10.0,,
Canada,28.0,16.0,Sutil,Gutierrez,,,
Canada,38.0,15.0,Kvyat,Sutil,,,
Canada,39.0,13.0,Button,Grosjean,,,
Canada,48.0,9.0,Button,Vergne,,,
Canada,57.0,5.0,Massa,Hulkenberg,13.0,,
Canada,57.0,6.0,Massa,Bottas,10.0,,
Canada,57.0,14.0,Gutierrez,Sutil,,,
Canada,60.0,7.0,Alonso,Bottas,1.0,,
Canada,60.0,8.0,Button,Bottas,,,
Canada,64.0,13.0,Sutil,Gutierrez,,,
Canada,66.0,2.0,Ricciardo,Perez,1.0,,
Canada,68.0,1.0,Ricciardo,Rosberg,13.0,,
Canada,69.0,3.0,Vettel,Perez,13.0,,
Canada,69.0,6.0,Button,Hulkenberg,,,
Canada,69.0,7.0,Button,Alonso,,,
Austria,2.0,19.0,Grosjean,Ericsson,,,
Austria,2.0,21.0,Grosjean,Chilton,,,
Austria,3.0,9.0,Kvyat,Ricciardo,4.0,,
Austria,6.0,13.0,Vergne,Sutil,2.0,,
Austria,9.0,16.0,Kobayashi,Bianchi,,,
Austria,11.0,16.0,Hulkenberg,Chilton,2.0,,
Austria,12.0,13.0,Magnussen,Ericsson,,,
Austria,12.0,14.0,Hulkenberg,Ericsson,,,
Austria,12.0,16.0,Kvyat,Chilton,,,
Austria,12.0,17.0,Ricciardo,Chilton,,,
Austria,13.0,7.0,Rosberg,Button,2.0,,
Austria,13.0,14.0,Kvyat,Ericsson,,,
Austria,13.0,17.0,Vergne,Chilton,,,
Austria,14.0,11.0,Magnussen,Bianchi,,,
Austria,14.0,15.0,Ricciardo,Ericsson,,,
Austria,14.0,18.0,Grosjean,Chilton,,,
Austria,15.0,2.0,Perez,Raikkonen,4.0,,
Austria,15.0,3.0,Rosberg,Raikkonen,5.0,,
Austria,15.0,5.0,Hamilton,Massa,2.0,,
Austria,15.0,11.0,Hulkenberg,Bianchi,,,
Austria,15.0,15.0,Vergne,Ericsson,,,
Austria,16.0,11.0,Kvyat,Bianchi,,,
Austria,17.0,12.0,Ricciardo,Bianchi,,,
Austria,18.0,7.0,Alonso,Maldonado,2.0,,
Austria,18.0,13.0,Raikkonen,Bianchi,,,
Austria,18.0,16.0,Grosjean,Ericsson,,,
Austria,19.0,14.0,Vergne,Bianchi,,,
Austria,21.0,18.0,Sutil,Chilton,,,
Austria,24.0,8.0,Magnussen,Maldonado,3.0,,
Austria,25.0,9.0,Hulkenberg,Maldonado,2.0,,
Austria,25.0,16.0,Sutil,Ericsson,,,
Austria,26.0,18.0,Kobayashi,Chilton,,,
Austria,27.0,1.0,Rosberg,Perez,2.0,,
Austria,27.0,2.0,Bottas,Perez,3.0,,
Austria,28.0,3.0,Hamilton,Perez,3.0,,
Austria,31.0,13.0,Maldonado,Bianchi,,,
Austria,32.0,17.0,Grosjean,Chilton,2.0,,
Austria,33.0,14.0,Sutil,Bianchi,,,
Austria,36.0,18.0,Ericsson,Chilton,,,
Austria,39.0,16.0,Grosjean,Kobayashi,,,
Austria,57.0,16.0,Bianchi,Kobayashi,,,
Austria,66.0,6.0,Perez,Magnussen,2.0,,
Austria,71.0,8.0,Ricciardo,Hulkenberg,5.0,,
Great Britain,3.0,7.0,Bottas,Ricciardo,Stowe,,
Great Britain,3.0,8.0,Bottas,Kvyat,Brooklands,,
Great Britain,3.0,12.0,Alonso,Gutierrez,,,
Great Britain,3.0,15.0,Grosjean,Ericsson,,,
Great Britain,4.0,2.0,Hamilton,Button,Brooklands,,
Great Britain,4.0,6.0,Bottas,Hulkenberg,Stowe,,
Great Britain,4.0,10.0,Alonso,Bianchi,,,
Great Britain,4.0,11.0,Alonso,Sutil,Brooklands,,
Great Britain,4.0,16.0,Vergne,Ericsson,,,
Great Britain,5.0,18.0,Perez,Kobayashi,,,
Great Britain,6.0,8.0,Alonso,Ricciardo,Club,,
Great Britain,6.0,9.0,Alonso,Kvyat,Woodcote,,
Great Britain,6.0,17.0,Perez,Ericsson,,,
Great Britain,8.0,7.0,Alonso,Hulkenberg,Brooklands,,
Great Britain,8.0,11.0,Sutil,Bianchi,,,
Great Britain,8.0,18.0,Kobayashi,Ericsson,,,
Great Britain,9.0,8.0,Ricciardo,Hulkenberg,Stowe,,
Great Britain,9.0,13.0,Maldonado,Gutierrez,,,
Great Britain,11.0,10.0,Vettel,Sutil,,,
Great Britain,11.0,12.0,Vergne,Bianchi,,,
Great Britain,12.0,13.0,Grosjean,Bianchi,,,
Great Britain,13.0,4.0,Bottas,Magnussen,Stowe,,
Great Britain,13.0,15.0,Perez,Maldonado,,,
Great Britain,14.0,14.0,Perez,Bianchi,,,
Great Britain,15.0,5.0,Alonso,Magnussen,Stowe,,
Great Britain,15.0,8.0,Vettel,Hulkenberg,Stowe,,
Great Britain,16.0,3.0,Bottas,Button,Stowe,,
Great Britain,16.0,9.0,Ricciardo,Sutil,Stowe,,
Great Britain,16.0,13.0,Kvyat,Perez,,,
Great Britain,16.0,15.0,Maldonado,Bianchi,,,
Great Britain,18.0,12.0,Kvyat,Grosjean,,,
Great Britain,21.0,8.0,Ricciardo,Hulkenberg,Brooklands,,
Great Britain,23.0,11.0,Kvyat,Vergne,,,
Great Britain,25.0,6.0,Vettel,Magnussen,Luffield,,
Great Britain,27.0,8.0,Alonso,Hulkenberg,Copse,,
Great Britain,28.0,12.0,Vergne,Sutil,,,
Great Britain,29.0,13.0,Perez,Bianchi,,,
Great Britain,33.0,2.0,Bottas,Vettel,Stowe,,
Great Britain,34.0,5.0,Alonso,Vettel,Copse,,
Great Britain,37.0,9.0,Kvyat,Vergne,,,
Great Britain,37.0,11.0,Perez,Sutil,,,
Great Britain,42.0,12.0,Grosjean,Sutil,,,
Great Britain,47.0,5.0,Vettel,Alonso,Copse,,
Germany,3.0,7.0,Perez,Kvyat,6.0,,
Germany,3.0,13.0,Ricciardo,Gutierrez,,,
Germany,3.0,16.0,Hamilton,Chilton,2.0,,
Germany,3.0,18.0,Bianchi,Kobayashi,2.0,,
Germany,4.0,12.0,Ricciardo,Grosjean,,,
Germany,4.0,14.0,Hamilton,Gutierrez,6.0,,
Germany,4.0,15.0,Hamilton,Maldonado,2.0,,
Germany,4.0,17.0,Bianchi,Chilton,6.0,,
Germany,4.0,20.0,Magnussen,Ericsson,,,
Germany,5.0,10.0,Vergne,Sutil,6.0,,
Germany,5.0,13.0,Hamilton,Grosjean,1.0,,
Germany,5.0,14.0,Gutierrez,Grosjean,6.0,,
Germany,7.0,11.0,Ricciardo,Sutil,6.0,,
Germany,7.0,12.0,Hamilton,Sutil,6.0,,
Germany,7.0,15.0,Maldonado,Grosjean,,,
Germany,8.0,19.0,Magnussen,Kobayashi,,,
Germany,9.0,18.0,Magnussen,Chilton,,,
Germany,10.0,9.0,Ricciardo,Vergne,6.0,,
Germany,10.0,10.0,Hamilton,Vergne,6.0,,
Germany,11.0,8.0,Ricciardo,Raikkonen,8.0,,
Germany,11.0,16.0,Magnussen,Bianchi,,,
Germany,13.0,7.0,Hamilton,Ricciardo,6.0,,
Germany,13.0,8.0,Hamilton,Raikkonen,6.0,,
Germany,14.0,5.0,Hamilton,Perez,6.0,,
Germany,14.0,8.0,Alonso,Sutil,6.0,,
Germany,14.0,17.0,Vergne,Chilton,,,
Germany,14.0,19.0,Kvyat,Kobayashi,,,
Germany,15.0,4.0,Vettel,Raikkonen,6.0,,
Germany,15.0,5.0,Alonso,Raikkonen,6.0,,
Germany,15.0,10.0,Magnussen,Grosjean,6.0,,
Germany,15.0,10.0,Button,Magnussen,6.0,,
Germany,15.0,11.0,Button,Grosjean,6.0,,
Germany,15.0,16.0,Perez,Chilton,,,
Germany,15.0,17.0,Kvyat,Chilton,,,
Germany,15.0,18.0,Gutierrez,Chilton,,,
Germany,16.0,8.0,Hulkenberg,Maldonado,,,
Germany,16.0,13.0,Ricciardo,Bianchi,,,
Germany,18.0,8.0,Button,Maldonado,6.0,,
Germany,18.0,11.0,Ricciardo,Grosjean,6.0,,
Germany,18.0,13.0,Vergne,Bianchi,6.0,,
Germany,18.0,14.0,Perez,Bianchi,,,
Germany,18.0,16.0,Sutil,Kvyat,,,
Germany,20.0,2.0,Bottas,Hamilton,6.0,,
Germany,20.0,6.0,Hulkenberg,Raikkonen,6.0,,
Germany,20.0,9.0,Ricciardo,Magnussen,6.0,,
Germany,20.0,14.0,Sutil,Bianchi,,,
Germany,20.0,17.0,Maldonado,Gutierrez,,,
Germany,21.0,10.0,Vergne,Grosjean,,,
Germany,21.0,15.0,Maldonado,Kvyat,6.0,,
Germany,22.0,11.0,Perez,Grosjean,6.0,,
Germany,22.0,13.0,Raikkonen,Sutil,6.0,,
Germany,22.0,16.0,Gutierrez,Kvyat,,,
Germany,23.0,12.0,Raikkonen,Grosjean,6.0,,
Germany,24.0,11.0,Raikkonen,Perez,6.0,,
Germany,24.0,13.0,Sutil,Grosjean,6.0,,
Germany,24.0,14.0,Maldonado,Grosjean,6.0,,
Germany,24.0,15.0,Gutierrez,Grosjean,,,
Germany,24.0,16.0,Kvyat,Grosjean,,,
Germany,25.0,10.0,Raikkonen,Vergne,6.0,,
Germany,26.0,9.0,Raikkonen,Magnussen,6.0,,
Germany,29.0,7.0,Hamilton,Ricciardo,7.0,,
Germany,29.0,10.0,Vergne,Magnussen,,,
Germany,31.0,6.0,Hamilton,Button,6.0,,
Germany,31.0,12.0,Maldonado,Sutil,,,
Germany,32.0,14.0,Magnussen,Kvyat,,,
Germany,33.0,5.0,Hamilton,Hulkenberg,6.0,,
Germany,33.0,8.0,Button,Raikkonen,,,
Germany,33.0,15.0,Gutierrez,Bianchi,,,
Germany,34.0,11.0,Maldonado,Perez,,,
Germany,35.0,5.0,Alonso,Vettel,6.0,,
Germany,36.0,16.0,Kvyat,Bianchi,,,
Germany,38.0,4.0,Alonso,Hulkenberg,6.0,,
Germany,38.0,5.0,Vettel,Hulkenberg,6.0,,
Germany,38.0,9.0,Magnussen,Maldonado,,,
Germany,41.0,13.0,Maldonado,Gutierrez,,,
Germany,42.0,11.0,Perez,Sutil,12.0,,
Germany,42.0,14.0,Kvyat,Gutierrez,6.0,,
Germany,49.0,3.0,Hamilton,Alonso,6.0,,
Germany,49.0,5.0,Vettel,Button,6.0,,
Germany,51.0,13.0,Vergne,Gutierrez,,,
Germany,53.0,7.0,Ricciardo,Hulkenberg,6.0,,
Germany,54.0,11.0,Perez,Raikkonen,3.0,,
Germany,55.0,3.0,Hamilton,Alonso,,,
Germany,56.0,5.0,Ricciardo,Button,8.0,,
Germany,56.0,9.0,Magnussen,Maldonado,,,
Germany,57.0,6.0,Alonso,Button,6.0,,
Germany,58.0,10.0,Perez,Maldonado,,,
Germany,59.0,5.0,Alonso,Ricciardo,5.0,,
Germany,59.0,5.0,Ricciardo,Alonso,8.0,,
Germany,60.0,11.0,Raikkonen,Maldonado,,,
Germany,61.0,7.0,Hulkenberg,Button,,,
Germany,62.0,5.0,Alonso,Ricciardo,6.0,,
Hungary,2.0,19.0,Magnussen,Ericsson,,,
Hungary,3.0,19.0,Hamilton,Magnussen,,,
Hungary,3.0,20.0,Hamilton,Ericsson,,,
Hungary,3.0,21.0,Kvyat,Ericsson,,,
Hungary,4.0,16.0,Hamilton,Kobayashi,,,
Hungary,4.0,17.0,Hamilton,Chilton,,,
Hungary,4.0,18.0,Hamilton,Maldonado,,,
Hungary,4.0,18.0,Kvyat,Chilton,,,
Hungary,4.0,19.0,Kvyat,Maldonado,,,
Hungary,4.0,20.0,Kvyat,Magnussen,,,
Hungary,4.0,20.0,Magnussen,Maldonado,,,
Hungary,5.0,15.0,Hamilton,Bianchi,,,
Hungary,5.0,19.0,Magnussen,Chilton,,,
Hungary,6.0,14.0,Hamilton,Grosjean,,,
Hungary,6.0,20.0,Maldonado,Chilton,,,
Hungary,7.0,17.0,Kvyat,Kobayashi,,,
Hungary,7.0,20.0,Chilton,Maldonado,,,
Hungary,8.0,13.0,Hamilton,Raikkonen,1.0,,
Hungary,8.0,18.0,Magnussen,Kobayashi,,,
Hungary,14.0,1.0,Button,Ricciardo,1.0,,
Hungary,14.0,4.0,Magnussen,Rosberg,1.0,,
Hungary,14.0,7.0,Alonso,Vettel,1.0,,
Hungary,14.0,8.0,Hulkenberg,Vettel,,,
Hungary,14.0,10.0,Hamilton,Perez,,,
Hungary,14.0,11.0,Hamilton,Bottas,,,
Hungary,14.0,12.0,Hamilton,Gutierrez,1.0,,
Hungary,15.0,5.0,Vergne,Rosberg,2.0,,
Hungary,15.0,5.0,Alonso,Vergne,14.0,,
Hungary,15.0,6.0,Alonso,Rosberg,1.0,,
Hungary,15.0,14.0,Sutil,Bianchi,,,
Hungary,16.0,13.0,Kvyat,Bianchi,,,
Hungary,18.0,15.0,Button,Chilton,,,
Hungary,20.0,14.0,Button,Kobayashi,,,
Hungary,20.0,16.0,Magnussen,Chilton,,,
Hungary,22.0,15.0,Magnussen,Kobayashi,,,
Hungary,27.0,15.0,Bianchi,Chilton,,,
Hungary,28.0,11.0,Button,Kvyat,,,
Hungary,28.0,13.0,Magnussen,Bottas,,,
Hungary,28.0,16.0,Maldonado,Chilton,,,
Hungary,29.0,15.0,Maldonado,Bianchi,,,
Hungary,30.0,10.0,Button,Sutil,1.0,,
Hungary,34.0,2.0,Hamilton,Vergne,9.0,,
Hungary,34.0,11.0,Rosberg,Maldonado,,,
Hungary,38.0,8.0,Rosberg,Bottas,1.0,,
Hungary,40.0,9.0,Vettel,Vergne,1.0,,
Hungary,41.0,15.0,Kvyat,Chilton,,,
